community_id,ngram_type,rank,term,ctfidf,class_count
7,unigram,19,using,0.008994339333121968,2380
7,unigram,20,images,0.008955288411301622,1768
7,bigram,1,ai art,0.029383876022715097,8134
7,bigram,2,ai generated,0.010109769332462255,2212
7,bigram,3,like ai,0.005431813929082778,894
7,bigram,4,use ai,0.004924334782533636,939
7,bigram,5,using ai,0.004817576332331332,923
7,bigram,6,think ai,0.004265906855089815,664
7,bigram,7,anti ai,0.003602128509742733,424
7,bigram,8,ai just,0.003507971389064177,544
7,bigram,9,ai image,0.003261631399444215,475
7,bigram,10,ai make,0.003157398638777437,466
10,unigram,1,chatgpt,0.030565746416394136,14689
10,unigram,2,new,0.014583286548847756,4077
10,unigram,3,google,0.01337681864296012,3048
10,unigram,4,microsoft,0.013333700206792497,2435
10,unigram,5,intelligence,0.012464977627699162,3121
10,unigram,6,artificial,0.012086293565631389,2918
10,unigram,7,bing,0.010099244564370936,1729
10,unigram,8,like,0.010060893861425689,3407
10,unigram,9,tech,0.009958163935652221,2243
10,unigram,10,openai,0.009235639665033218,1907
10,unigram,11,use,0.00904023229062927,2568
10,unigram,12,just,0.00893838113006117,2905
10,unigram,13,using,0.008342771637769647,2175
10,unigram,14,data,0.008341242869920903,2063
10,unigram,15,technology,0.008323923777585267,1941
10,unigram,16,search,0.007851109222332717,1498
10,unigram,17,chatbot,0.007823809192658416,1360
10,unigram,18,human,0.0075964351857742505,1848
10,unigram,19,help,0.0071634976509181,1547
10,unigram,20,gpt,0.007105498361989554,1713
10,bigram,1,artificial intelligence,0.011893189896272137,2809
10,bigram,2,generative ai,0.005295110790007667,880
10,bigram,3,ai chatbot,0.0042504121489275164,610
10,bigram,4,new ai,0.0041854750861835275,663
10,bigram,5,ai powered,0.004075346456737891,643
10,bigram,6,chatgpt ai,0.0039145314722847475,626
10,bigram,7,ai generated,0.003613702242347271,779
10,bigram,8,using ai,0.003496468520593635,660
10,bigram,9,chat gpt,0.003340171419033031,601
10,bigram,10,use ai,0.0031670704768203355,595
6,unigram,1,chatgpt,0.02503529396924049,7566
6,unigram,2,like,0.015294165162581112,3257
6,unigram,3,just,0.014267367083560202,2916
6,unigram,4,people,0.012099319831996318,2173
6,unigram,5,art,0.011744002241476028,2700
6,unigram,6,human,0.010438939231732579,1597
6,unigram,7,think,0.010421267212698213,1726
6,unigram,8,write,0.009657126302134262,1244
6,unigram,9,new,0.008907381207339544,1566
6,unigram,10,use,0.008738382623472542,1561
6,unigram,11,going,0.008559531340059467,1209
6,unigram,12,time,0.00853267969227588,1328
6,unigram,13,intelligence,0.008459516522703507,1332
6,unigram,14,make,0.008386902203802364,1378
6,unigram,15,know,0.008194558726411671,1236
6,unigram,16,bert,0.008050278074068962,734
6,unigram,17,work,0.007818027222075016,1216
6,unigram,18,good,0.007804979190589205,1190
